document_title,eisenhower_url,naid,collection,topic,bibliography_matches,matched_bibliography_files,unit_record_matches,matched_unit_records
"21 Army Group General Situation, December 16, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-037.pdf,12125645,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,0,,0,
"Cable, Eisenhower to Montgomery, December 19, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-038.pdf,12125646,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Cable, Eisenhower to Bradley Re Protection of Meuse River Bridges, December 19, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-032.pdf,12117241,"DDE Pre-Presidential Papers, Principal File, Box 13",Ardennes,29,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; aeaf_opn_cobra_01KPSNKZNG67242YNRC6KB1R9R.json; aaf_iii_01KPSNM5G0J1GVN2SH3JPKDXZ7.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_gen_bradley_01KQ5JQNMK0188HCMYDZMX8W2W.json,0,
"Telephone Conversation with General Bradley, December 21, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/126-003.pdf,12113396,"Harold R. Bull Papers, Box 2",Ardennes,15,aeaf_opn_cobra_01KPSNKZNG67242YNRC6KB1R9R.json; aaf_iii_01KPSNM5G0J1GVN2SH3JPKDXZ7.json; interview_with_gen_bradley_01KQ5JQNMK0188HCMYDZMX8W2W.json; interv_by_author_with_gen_collins_30_mar_56_washington_dc_01KPSN62F7M8R46P7K5BE3BCFZ.json; shaef_g_3_to_shaef_cofs_sub_scaef_letter_to_general_bradley_15_dec_44_01KT80XY1B5Z3P5VSEFRZQBQNP.json,0,
"Cable, Montgomery to Eisenhower, December 21, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-039.pdf,12125649,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Outgoing Message to Every Member of the Allied Expeditionary Force, December 22, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-053.pdf,12126643,"DDE Pre-Presidential Papers, Principal File, Box 148",Ardennes,0,,0,
"Cable, Eisenhower to Montgomery, December 22, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-040.pdf,12125650,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Cable, Montgomery to Eisenhower, December 23, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-041.pdf,12125651,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Cable, Montgomery to Eisenhower, December 24, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-042.pdf,12125656,"DDE Pre-Presidential Papers, Principal File, Box 83",Ardennes,18,memo_sub_decisions_reached_at_supreme_commanders_conf_18_oct_44_dtd_22_oct_44_01KT7YPJS0YVYNHDJN1ZH7YWFX.json; cbl_to_eisenhower_6_aug_42_draft_in_memo_handy_for_classified_mc_01KQ64XM9DA0RYS7BHHJRVWWKV.json; interview_with_maj_gen_kenneth_r_mclean_01KPTABRAQG9VQNYQE3HX46K7R.json; ccs_132d_mtg_01KPT9NABY9X6MXBFTP80RHF7P.json; notes_on_a_meeting_of_army_commanders_01KPTABTWYM18VVDZPHBFZJDBB.json,0,
"Diary Entry, December 24, 1944",https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/ardennes-battle-bulge/033-048.pdf,12126625,"DDE Pre-Presidential Papers, Butcher's Diary",Ardennes,0,,0,
