eisenhower_record,pdf_part,pdf_url,bibliography_matches,bibliography_files,people_group_matches,people_group_files,online_document_matches,online_document_urls
"11th AIRBORNE DIVISION, 1944 – 1948",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,0,,0,,0,
"13th AIRBORNE DIVISION, 1941 – 1945",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,0,,0,,0,
"17th AIRBORNE DIVISION, 1944-1948",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,0,,1,17th airborne division.json,0,
"82nd AIRBORNE DIVISION, 1943-1946",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,3,msg_g_2_to_co_base_echelon_17_sep_01KT9TFHDHJWP90V6TZF63P068.json; 82d_abn_div_opns_memo_fo_6_01KPVX5Q9AV4H5YV5F44RPB3CN.json; msg_g_2_to_co_base_echelon_17_sep_01KT82QDG5BS5ZXYMGRT0Z6R3X.json,1,82nd airborne division.json,1,https://www.eisenhowerlibrary.gov/sites/default/files/research/online-documents/d-day/1944-06-06-to-08-82nd-airborne.pdf
"101st AIRBORNE DIVISION, 1942-1949",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,19,rpt_of_abn_phase_101st_abn_div_and_a_graphic_account_of_the_82d_airborne_divisio_01KTC74CC2R7R21SB7XTTAPC27.json; ltr_lt_gen_anthony_c_mcauliffe_formerly_cg_101st_abn_div_arty_to_ocmh_8_feb_54_01KT827XXNEVB65FFC2HQ9SYKA.json; aeaf_memo_operation_neptune_employment_of_british_and_american_airborne_forces_01KPTC8QZK2WRT1GAKDP3T39M3.json; 327th_glider_infantry_battalion_histories_01KT9TKRQQREMY8PDSJCDPM6H6.json; rendezvous_with_destiny_01KPT4JCS1C6YDQMB5KKW763K9.json,1,101st abn div.json,0,
"1st ARMORED DIVISION, 1940-1946",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,0,,1,1st armored division.json,0,
"2nd ARMORED DIVISION, 1941-1950",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,3,2d_armd_div_g_3_jnl_11_nov_44_01KT807315RBQCPJ679AWEBYDQ.json; 2d_armd_div_g_3_jnl_entry_1130_27_jul_01KPSQB46P7BPDRGQGECX5P393.json; 2nd_armored_division_g_3_journal_23_nov_44_01KTC4D8XWYV2KW9N4RPGAQCGW.json,0,,0,
"3rd ARMORED DIVISION, 1944-1949",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,8,3d_armd_div_aar_nov_44_01KTA7SA850G7SBNJWABCY0RE6.json; ccb_s_3_rpt_1_01KQ9M670Q9HCB7MSRXMPHGGCB.json; 3d_armored_div_g_3_per_rpt_13_01KPT2BRXZYYYNGMR09PXY48M3.json; 3d_armd_div_aar_sep_01KPT17D3PVD4KSN4Y60NFR049.json; 3d_armd_div_ccb_g_2_daily_narrative_01KPT2KTQ15MRAV5CJ3X8JR3KZ.json,0,,0,
"4th ARMORED DIVISION, 1944-1946",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,197,combat_interviews_with_officers_of_4th_armd_div_staff_01KRMN0J0D2RMGY18ZMBVHBAKB.json; xii_corps_spearhead_of_pattons_third_army_01KS45GYFK1SZHTS9E3EGA4AGJ.json; letter_to_the_historical_division_01KRSXNVME4QPTD1CSQN6QD1FK.json; overlay_to_accompany_fo_2_01KQ99SJT9AAFAYE7H0VPVTSDV.json; interv_with_gen_eddy_01KRSJYB6XRZBVM1SX6RSNFTR6.json,3,51st armored infantry battalion 4th armored division.json; 4th armored division cca.json; 4th armored division.json,0,
"5th ARMORED DIVISION, 1941-1948",1,https://www.eisenhowerlibrary.gov/sites/default/files/finding-aids/pdf/us-army-unit-records-1.pdf,54,5th_armd_div_aar_01KPSWQVP3HDMMR9F041CJPTHK.json; msg_17th_luftwaffen_feld_div_to_lxxxi_corps_2040_19_aug_lxxxi_corps_tagesmeldung_01KPSY863J25X9KDFEX1J6Y0JH.json; s_3_air_jnl_01KTC37G6JZ3B6XA2JMMJMXKH0.json; ccr_5th_armd_div_s_3_jnl_3_dec_44_01KT9RTQZ43AS4SQXQVEBKNVDQ.json; s_3_jnl_2_dec_44_01KTC351CDM9XZM51JE770X931.json,2,ccr reinforced 5th armored division.json; ccr 5th armored division.json,0,
